job,structure,environment,batch,kind,resin,pfas,pose,charge,multiplicity,atoms,cpus,mem_gb,gaussian_mem_gb,hours,pilot,input_dir
A400_PFOA_head_axial__water,A400_PFOA_head_axial,water,1,complex,A400,PFOA,head_axial,0,1,52,8,40,30,48,0,inputs/water/A400_PFOA_head_axial
A400_PFOA_head_axial__unsolvated,A400_PFOA_head_axial,unsolvated,1,complex,A400,PFOA,head_axial,0,1,52,8,40,30,48,0,inputs/unsolvated/A400_PFOA_head_axial
A400_PFOA_head_tangential__water,A400_PFOA_head_tangential,water,1,complex,A400,PFOA,head_tangential,0,1,52,8,40,30,48,0,inputs/water/A400_PFOA_head_tangential
A400_PFOA_head_tangential__unsolvated,A400_PFOA_head_tangential,unsolvated,1,complex,A400,PFOA,head_tangential,0,1,52,8,40,30,48,0,inputs/unsolvated/A400_PFOA_head_tangential
A400_PFOA_alternate_oxygen__water,A400_PFOA_alternate_oxygen,water,1,complex,A400,PFOA,alternate_oxygen,0,1,52,8,40,30,48,0,inputs/water/A400_PFOA_alternate_oxygen
A400_PFOA_alternate_oxygen__unsolvated,A400_PFOA_alternate_oxygen,unsolvated,1,complex,A400,PFOA,alternate_oxygen,0,1,52,8,40,30,48,0,inputs/unsolvated/A400_PFOA_alternate_oxygen
A400_PFNA_head_axial__water,A400_PFNA_head_axial,water,1,complex,A400,PFNA,head_axial,0,1,55,8,40,30,48,0,inputs/water/A400_PFNA_head_axial
A400_PFNA_head_axial__unsolvated,A400_PFNA_head_axial,unsolvated,1,complex,A400,PFNA,head_axial,0,1,55,8,40,30,48,0,inputs/unsolvated/A400_PFNA_head_axial
A400_PFNA_head_tangential__water,A400_PFNA_head_tangential,water,1,complex,A400,PFNA,head_tangential,0,1,55,8,40,30,48,0,inputs/water/A400_PFNA_head_tangential
A400_PFNA_head_tangential__unsolvated,A400_PFNA_head_tangential,unsolvated,1,complex,A400,PFNA,head_tangential,0,1,55,8,40,30,48,0,inputs/unsolvated/A400_PFNA_head_tangential
A400_PFNA_alternate_oxygen__water,A400_PFNA_alternate_oxygen,water,1,complex,A400,PFNA,alternate_oxygen,0,1,55,8,40,30,48,0,inputs/water/A400_PFNA_alternate_oxygen
A400_PFNA_alternate_oxygen__unsolvated,A400_PFNA_alternate_oxygen,unsolvated,1,complex,A400,PFNA,alternate_oxygen,0,1,55,8,40,30,48,0,inputs/unsolvated/A400_PFNA_alternate_oxygen
