job,structure,environment,batch,kind,resin,pfas,pose,charge,multiplicity,atoms,cpus,mem_gb,gaussian_mem_gb,hours,pilot,input_dir
PCy3_PFBA_alternate_oxygen__unsolvated,PCy3_PFBA_alternate_oxygen,unsolvated,2,complex,PCy3,PFBA,alternate_oxygen,0,1,79,8,64,48,48,0,inputs/unsolvated/PCy3_PFBA_alternate_oxygen
PCy3_PFPeA_head_axial__water,PCy3_PFPeA_head_axial,water,2,complex,PCy3,PFPeA,head_axial,0,1,82,8,64,48,48,0,inputs/water/PCy3_PFPeA_head_axial
PCy3_PFPeA_head_axial__unsolvated,PCy3_PFPeA_head_axial,unsolvated,2,complex,PCy3,PFPeA,head_axial,0,1,82,8,64,48,48,0,inputs/unsolvated/PCy3_PFPeA_head_axial
PCy3_PFPeA_head_tangential__water,PCy3_PFPeA_head_tangential,water,2,complex,PCy3,PFPeA,head_tangential,0,1,82,8,64,48,48,0,inputs/water/PCy3_PFPeA_head_tangential
PCy3_PFPeA_head_tangential__unsolvated,PCy3_PFPeA_head_tangential,unsolvated,2,complex,PCy3,PFPeA,head_tangential,0,1,82,8,64,48,48,0,inputs/unsolvated/PCy3_PFPeA_head_tangential
PCy3_PFPeA_alternate_oxygen__water,PCy3_PFPeA_alternate_oxygen,water,2,complex,PCy3,PFPeA,alternate_oxygen,0,1,82,8,64,48,48,0,inputs/water/PCy3_PFPeA_alternate_oxygen
PCy3_PFPeA_alternate_oxygen__unsolvated,PCy3_PFPeA_alternate_oxygen,unsolvated,2,complex,PCy3,PFPeA,alternate_oxygen,0,1,82,8,64,48,48,0,inputs/unsolvated/PCy3_PFPeA_alternate_oxygen
PCy3_PFHpA_head_axial__water,PCy3_PFHpA_head_axial,water,2,complex,PCy3,PFHpA,head_axial,0,1,88,8,64,48,48,0,inputs/water/PCy3_PFHpA_head_axial
PCy3_PFHpA_head_axial__unsolvated,PCy3_PFHpA_head_axial,unsolvated,2,complex,PCy3,PFHpA,head_axial,0,1,88,8,64,48,48,0,inputs/unsolvated/PCy3_PFHpA_head_axial
PCy3_PFHpA_head_tangential__water,PCy3_PFHpA_head_tangential,water,2,complex,PCy3,PFHpA,head_tangential,0,1,88,8,64,48,48,0,inputs/water/PCy3_PFHpA_head_tangential
PCy3_PFHpA_head_tangential__unsolvated,PCy3_PFHpA_head_tangential,unsolvated,2,complex,PCy3,PFHpA,head_tangential,0,1,88,8,64,48,48,0,inputs/unsolvated/PCy3_PFHpA_head_tangential
PCy3_PFHpA_alternate_oxygen__water,PCy3_PFHpA_alternate_oxygen,water,2,complex,PCy3,PFHpA,alternate_oxygen,0,1,88,8,64,48,48,0,inputs/water/PCy3_PFHpA_alternate_oxygen
PCy3_PFHpA_alternate_oxygen__unsolvated,PCy3_PFHpA_alternate_oxygen,unsolvated,2,complex,PCy3,PFHpA,alternate_oxygen,0,1,88,8,64,48,48,0,inputs/unsolvated/PCy3_PFHpA_alternate_oxygen
PCy3_PFOA_head_axial__water,PCy3_PFOA_head_axial,water,2,complex,PCy3,PFOA,head_axial,0,1,91,8,64,48,48,0,inputs/water/PCy3_PFOA_head_axial
PCy3_PFOA_head_axial__unsolvated,PCy3_PFOA_head_axial,unsolvated,2,complex,PCy3,PFOA,head_axial,0,1,91,8,64,48,48,0,inputs/unsolvated/PCy3_PFOA_head_axial
PCy3_PFOA_head_tangential__water,PCy3_PFOA_head_tangential,water,2,complex,PCy3,PFOA,head_tangential,0,1,91,8,64,48,48,0,inputs/water/PCy3_PFOA_head_tangential
PCy3_PFOA_head_tangential__unsolvated,PCy3_PFOA_head_tangential,unsolvated,2,complex,PCy3,PFOA,head_tangential,0,1,91,8,64,48,48,0,inputs/unsolvated/PCy3_PFOA_head_tangential
PCy3_PFOA_alternate_oxygen__water,PCy3_PFOA_alternate_oxygen,water,2,complex,PCy3,PFOA,alternate_oxygen,0,1,91,8,64,48,48,0,inputs/water/PCy3_PFOA_alternate_oxygen
PCy3_PFOA_alternate_oxygen__unsolvated,PCy3_PFOA_alternate_oxygen,unsolvated,2,complex,PCy3,PFOA,alternate_oxygen,0,1,91,8,64,48,48,0,inputs/unsolvated/PCy3_PFOA_alternate_oxygen
PCy3_PFNA_head_axial__water,PCy3_PFNA_head_axial,water,2,complex,PCy3,PFNA,head_axial,0,1,94,8,64,48,48,0,inputs/water/PCy3_PFNA_head_axial
PCy3_PFNA_head_axial__unsolvated,PCy3_PFNA_head_axial,unsolvated,2,complex,PCy3,PFNA,head_axial,0,1,94,8,64,48,48,0,inputs/unsolvated/PCy3_PFNA_head_axial
PCy3_PFNA_head_tangential__water,PCy3_PFNA_head_tangential,water,2,complex,PCy3,PFNA,head_tangential,0,1,94,8,64,48,48,0,inputs/water/PCy3_PFNA_head_tangential
PCy3_PFNA_head_tangential__unsolvated,PCy3_PFNA_head_tangential,unsolvated,2,complex,PCy3,PFNA,head_tangential,0,1,94,8,64,48,48,0,inputs/unsolvated/PCy3_PFNA_head_tangential
PCy3_PFNA_alternate_oxygen__water,PCy3_PFNA_alternate_oxygen,water,2,complex,PCy3,PFNA,alternate_oxygen,0,1,94,8,64,48,48,0,inputs/water/PCy3_PFNA_alternate_oxygen
PCy3_PFNA_alternate_oxygen__unsolvated,PCy3_PFNA_alternate_oxygen,unsolvated,2,complex,PCy3,PFNA,alternate_oxygen,0,1,94,8,64,48,48,0,inputs/unsolvated/PCy3_PFNA_alternate_oxygen
PCy3_PFOS_head_axial__water,PCy3_PFOS_head_axial,water,2,complex,PCy3,PFOS,head_axial,0,1,95,8,64,48,48,0,inputs/water/PCy3_PFOS_head_axial
PCy3_PFOS_head_axial__unsolvated,PCy3_PFOS_head_axial,unsolvated,2,complex,PCy3,PFOS,head_axial,0,1,95,8,64,48,48,0,inputs/unsolvated/PCy3_PFOS_head_axial
PCy3_PFOS_head_tangential__water,PCy3_PFOS_head_tangential,water,2,complex,PCy3,PFOS,head_tangential,0,1,95,8,64,48,48,0,inputs/water/PCy3_PFOS_head_tangential
PCy3_PFOS_head_tangential__unsolvated,PCy3_PFOS_head_tangential,unsolvated,2,complex,PCy3,PFOS,head_tangential,0,1,95,8,64,48,48,0,inputs/unsolvated/PCy3_PFOS_head_tangential
PCy3_PFOS_alternate_oxygen__water,PCy3_PFOS_alternate_oxygen,water,2,complex,PCy3,PFOS,alternate_oxygen,0,1,95,8,64,48,48,0,inputs/water/PCy3_PFOS_alternate_oxygen
PCy3_PFOS_alternate_oxygen__unsolvated,PCy3_PFOS_alternate_oxygen,unsolvated,2,complex,PCy3,PFOS,alternate_oxygen,0,1,95,8,64,48,48,0,inputs/unsolvated/PCy3_PFOS_alternate_oxygen
PPh3_Cl__water,PPh3_Cl,water,2,counterion,PPh3,,,0,1,49,8,64,48,48,0,inputs/water/PPh3_Cl
PPh3_Cl__unsolvated,PPh3_Cl,unsolvated,2,counterion,PPh3,,,0,1,49,8,64,48,48,0,inputs/unsolvated/PPh3_Cl
PPh3_PFBA_head_axial__water,PPh3_PFBA_head_axial,water,2,complex,PPh3,PFBA,head_axial,0,1,61,8,64,48,48,0,inputs/water/PPh3_PFBA_head_axial
PPh3_PFBA_head_axial__unsolvated,PPh3_PFBA_head_axial,unsolvated,2,complex,PPh3,PFBA,head_axial,0,1,61,8,64,48,48,0,inputs/unsolvated/PPh3_PFBA_head_axial
PPh3_PFBA_head_tangential__water,PPh3_PFBA_head_tangential,water,2,complex,PPh3,PFBA,head_tangential,0,1,61,8,64,48,48,0,inputs/water/PPh3_PFBA_head_tangential
PPh3_PFBA_head_tangential__unsolvated,PPh3_PFBA_head_tangential,unsolvated,2,complex,PPh3,PFBA,head_tangential,0,1,61,8,64,48,48,0,inputs/unsolvated/PPh3_PFBA_head_tangential
PPh3_PFBA_alternate_oxygen__water,PPh3_PFBA_alternate_oxygen,water,2,complex,PPh3,PFBA,alternate_oxygen,0,1,61,8,64,48,48,0,inputs/water/PPh3_PFBA_alternate_oxygen
PPh3_PFBA_alternate_oxygen__unsolvated,PPh3_PFBA_alternate_oxygen,unsolvated,2,complex,PPh3,PFBA,alternate_oxygen,0,1,61,8,64,48,48,0,inputs/unsolvated/PPh3_PFBA_alternate_oxygen
PPh3_PFPeA_head_axial__water,PPh3_PFPeA_head_axial,water,2,complex,PPh3,PFPeA,head_axial,0,1,64,8,64,48,48,0,inputs/water/PPh3_PFPeA_head_axial
PPh3_PFPeA_head_axial__unsolvated,PPh3_PFPeA_head_axial,unsolvated,2,complex,PPh3,PFPeA,head_axial,0,1,64,8,64,48,48,0,inputs/unsolvated/PPh3_PFPeA_head_axial
PPh3_PFPeA_head_tangential__water,PPh3_PFPeA_head_tangential,water,2,complex,PPh3,PFPeA,head_tangential,0,1,64,8,64,48,48,0,inputs/water/PPh3_PFPeA_head_tangential
PPh3_PFPeA_head_tangential__unsolvated,PPh3_PFPeA_head_tangential,unsolvated,2,complex,PPh3,PFPeA,head_tangential,0,1,64,8,64,48,48,0,inputs/unsolvated/PPh3_PFPeA_head_tangential
PPh3_PFPeA_alternate_oxygen__water,PPh3_PFPeA_alternate_oxygen,water,2,complex,PPh3,PFPeA,alternate_oxygen,0,1,64,8,64,48,48,0,inputs/water/PPh3_PFPeA_alternate_oxygen
PPh3_PFPeA_alternate_oxygen__unsolvated,PPh3_PFPeA_alternate_oxygen,unsolvated,2,complex,PPh3,PFPeA,alternate_oxygen,0,1,64,8,64,48,48,0,inputs/unsolvated/PPh3_PFPeA_alternate_oxygen
PPh3_PFHpA_head_axial__water,PPh3_PFHpA_head_axial,water,2,complex,PPh3,PFHpA,head_axial,0,1,70,8,64,48,48,0,inputs/water/PPh3_PFHpA_head_axial
PPh3_PFHpA_head_axial__unsolvated,PPh3_PFHpA_head_axial,unsolvated,2,complex,PPh3,PFHpA,head_axial,0,1,70,8,64,48,48,0,inputs/unsolvated/PPh3_PFHpA_head_axial
PPh3_PFHpA_head_tangential__water,PPh3_PFHpA_head_tangential,water,2,complex,PPh3,PFHpA,head_tangential,0,1,70,8,64,48,48,0,inputs/water/PPh3_PFHpA_head_tangential
PPh3_PFHpA_head_tangential__unsolvated,PPh3_PFHpA_head_tangential,unsolvated,2,complex,PPh3,PFHpA,head_tangential,0,1,70,8,64,48,48,0,inputs/unsolvated/PPh3_PFHpA_head_tangential
PPh3_PFHpA_alternate_oxygen__water,PPh3_PFHpA_alternate_oxygen,water,2,complex,PPh3,PFHpA,alternate_oxygen,0,1,70,8,64,48,48,0,inputs/water/PPh3_PFHpA_alternate_oxygen
PPh3_PFHpA_alternate_oxygen__unsolvated,PPh3_PFHpA_alternate_oxygen,unsolvated,2,complex,PPh3,PFHpA,alternate_oxygen,0,1,70,8,64,48,48,0,inputs/unsolvated/PPh3_PFHpA_alternate_oxygen
PPh3_PFOA_head_axial__water,PPh3_PFOA_head_axial,water,2,complex,PPh3,PFOA,head_axial,0,1,73,8,64,48,48,0,inputs/water/PPh3_PFOA_head_axial
PPh3_PFOA_head_axial__unsolvated,PPh3_PFOA_head_axial,unsolvated,2,complex,PPh3,PFOA,head_axial,0,1,73,8,64,48,48,0,inputs/unsolvated/PPh3_PFOA_head_axial
PPh3_PFOA_head_tangential__water,PPh3_PFOA_head_tangential,water,2,complex,PPh3,PFOA,head_tangential,0,1,73,8,64,48,48,0,inputs/water/PPh3_PFOA_head_tangential
PPh3_PFOA_head_tangential__unsolvated,PPh3_PFOA_head_tangential,unsolvated,2,complex,PPh3,PFOA,head_tangential,0,1,73,8,64,48,48,0,inputs/unsolvated/PPh3_PFOA_head_tangential
PPh3_PFOA_alternate_oxygen__water,PPh3_PFOA_alternate_oxygen,water,2,complex,PPh3,PFOA,alternate_oxygen,0,1,73,8,64,48,48,0,inputs/water/PPh3_PFOA_alternate_oxygen
PPh3_PFOA_alternate_oxygen__unsolvated,PPh3_PFOA_alternate_oxygen,unsolvated,2,complex,PPh3,PFOA,alternate_oxygen,0,1,73,8,64,48,48,0,inputs/unsolvated/PPh3_PFOA_alternate_oxygen
PPh3_PFNA_head_axial__water,PPh3_PFNA_head_axial,water,2,complex,PPh3,PFNA,head_axial,0,1,76,8,64,48,48,0,inputs/water/PPh3_PFNA_head_axial
PPh3_PFNA_head_axial__unsolvated,PPh3_PFNA_head_axial,unsolvated,2,complex,PPh3,PFNA,head_axial,0,1,76,8,64,48,48,0,inputs/unsolvated/PPh3_PFNA_head_axial
PPh3_PFNA_head_tangential__water,PPh3_PFNA_head_tangential,water,2,complex,PPh3,PFNA,head_tangential,0,1,76,8,64,48,48,0,inputs/water/PPh3_PFNA_head_tangential
PPh3_PFNA_head_tangential__unsolvated,PPh3_PFNA_head_tangential,unsolvated,2,complex,PPh3,PFNA,head_tangential,0,1,76,8,64,48,48,0,inputs/unsolvated/PPh3_PFNA_head_tangential
PPh3_PFNA_alternate_oxygen__water,PPh3_PFNA_alternate_oxygen,water,2,complex,PPh3,PFNA,alternate_oxygen,0,1,76,8,64,48,48,0,inputs/water/PPh3_PFNA_alternate_oxygen
PPh3_PFNA_alternate_oxygen__unsolvated,PPh3_PFNA_alternate_oxygen,unsolvated,2,complex,PPh3,PFNA,alternate_oxygen,0,1,76,8,64,48,48,0,inputs/unsolvated/PPh3_PFNA_alternate_oxygen
PPh3_PFOS_head_axial__water,PPh3_PFOS_head_axial,water,2,complex,PPh3,PFOS,head_axial,0,1,77,8,64,48,48,0,inputs/water/PPh3_PFOS_head_axial
PPh3_PFOS_head_axial__unsolvated,PPh3_PFOS_head_axial,unsolvated,2,complex,PPh3,PFOS,head_axial,0,1,77,8,64,48,48,0,inputs/unsolvated/PPh3_PFOS_head_axial
PPh3_PFOS_head_tangential__water,PPh3_PFOS_head_tangential,water,2,complex,PPh3,PFOS,head_tangential,0,1,77,8,64,48,48,0,inputs/water/PPh3_PFOS_head_tangential
PPh3_PFOS_head_tangential__unsolvated,PPh3_PFOS_head_tangential,unsolvated,2,complex,PPh3,PFOS,head_tangential,0,1,77,8,64,48,48,0,inputs/unsolvated/PPh3_PFOS_head_tangential
PPh3_PFOS_alternate_oxygen__water,PPh3_PFOS_alternate_oxygen,water,2,complex,PPh3,PFOS,alternate_oxygen,0,1,77,8,64,48,48,0,inputs/water/PPh3_PFOS_alternate_oxygen
PPh3_PFOS_alternate_oxygen__unsolvated,PPh3_PFOS_alternate_oxygen,unsolvated,2,complex,PPh3,PFOS,alternate_oxygen,0,1,77,8,64,48,48,0,inputs/unsolvated/PPh3_PFOS_alternate_oxygen
free_Cl__water,free_Cl,water,1,ion,,,,-1,1,1,2,4,2,2,1,inputs/water/free_Cl
free_Cl__unsolvated,free_Cl,unsolvated,1,ion,,,,-1,1,1,2,4,2,2,1,inputs/unsolvated/free_Cl
free_F__water,free_F,water,1,ion,,,,-1,1,1,2,4,2,2,1,inputs/water/free_F
free_F__unsolvated,free_F,unsolvated,1,ion,,,,-1,1,1,2,4,2,2,1,inputs/unsolvated/free_F
